gentau1_vis_px,gentau1_vis_py,gentau1_vis_pz,gentau1_vis_e,gentau1_vis_pt,gentau1_vis_eta,gentau1_vis_phi,gentau1_vis_m,gentau2_vis_px,gentau2_vis_py,gentau2_vis_pz,gentau2_vis_e,gentau2_vis_pt,gentau2_vis_eta,gentau2_vis_phi,gentau2_vis_m,genmet,genmet_px,genmet_py,genmet_phi,boson_mass,event_weight,class_id
-21.099316,10.988486,-23.864037,33.727043,23.78924,-0.88359505,2.6614451,1.4468058,17.393356,-5.7693377,4.572544,18.912308,18.325232,0.24700248,-0.32027784,0.97628033,30.076948,28.662416,-9.1153,-0.30790833,92.14913,1.0,4100.0
24.151375,-2.9217172,17.482574,29.983303,24.327461,0.66786647,-0.12039016,1.2380292,-22.016167,1.1106977,10.509963,24.421795,22.044167,0.46033698,3.0911863,0.13963392,7.051743,-7.0512877,-0.080157086,-3.1302254,94.709206,1.0,4100.0
7.4503675,-21.61248,-49.638985,54.66385,22.860605,-1.5177518,-1.2388283,1.2248673,1.4799953,29.832747,-10.020682,31.510035,29.869434,-0.32948866,1.5212272,0.5339041,12.2331,3.3986657,11.751502,1.2892667,89.53483,1.0,4100.0
2.3831818,13.823638,10.465279,17.51471,14.027563,0.68998504,1.4000754,0.68590754,1.9719934,-6.450695,-5.6337013,8.789665,6.7453856,-0.7599144,-1.2741162,0.13928202,25.772852,15.59982,-20.515493,-0.92067736,86.12052,1.0,4100.0
3.1785116,5.3039265,-38.47705,38.970985,6.183411,-2.5277338,1.0309099,0.14033929,-25.963158,30.826218,21.387733,45.642757,40.303116,0.508476,2.2707696,1.2185696,8.139329,-3.4894114,7.353413,2.0138607,90.32718,1.0,4100.0
-25.429634,-14.770795,66.20548,72.44973,29.408207,1.5506691,-2.6153734,0.9771302,23.98737,7.0395656,-16.274311,29.836435,24.998987,-0.61206156,0.28545496,0.64053977,2.159918,2.038493,0.7139977,0.33690432,94.14371,1.0,4100.0
4.830908,-4.664138,-87.98692,88.24597,6.715047,-3.2674375,-0.7678361,0.7490048,-19.015661,8.611066,9.01848,22.76647,20.874525,0.4196103,2.716379,1.1105583,0.80783004,-0.07341284,-0.80448735,-1.6617985,88.02032,1.0,4100.0
26.212885,6.131702,67.44801,72.631256,26.920496,1.6492541,0.22978765,1.1626524,-42.53704,-1.3068564,164.74146,170.1529,42.55711,2.062958,-3.1108794,1.0734484,20.47385,19.918516,4.736167,0.23344208,93.14564,1.0,4100.0
27.086306,-33.204132,66.39505,79.03192,42.850697,1.2218843,-0.8865246,1.2488346,21.566814,29.179665,51.99268,63.413826,36.28471,1.1569622,0.934305,1.222409,34.32496,25.796402,-22.64395,-0.72041076,91.72894,1.0,4100.0
-5.152149,1.6601667,11.737671,12.926456,5.413021,1.5165118,2.82987,0.1398688,8.158132,0.71525216,-11.659046,14.269993,8.189425,-1.1516638,0.087449916,0.7953872,10.324442,-4.930892,9.070854,2.0687106,91.67147,1.0,4100.0
